star_rating,review_body
1,I loved it and I wish there was a season 3... I watched season 2 and loved that as well!
1,"As always it seems that the best shows come from England. best of the best without words, i cant wait to watch season two."
1,"This movie isn't perfect, but it gets a lot of things right. Yes, the librarian character played by Marcia Gay Harden is stereotypical and played a bit heavy-handed. But the universal nature of the story, the beautiful setting, and the likability of the characters overcome this flaw. The quote at the end brought tears to my eyes.  If you want to take a break from Hollywood's standard fare of dark, violent, or stupid movies, then give this a try. It is is entertaining and thoughtful."
1,excellant this is what tv should be
1,Brilliant film from beginning to end. All of the performances across the board are flawless. Doesn't get much better than this.
1,If you don't like this show. Go back to your nickelback cd's you heathen
1,Very funny.  A typical mid 50's comedy.
1,"Strange as it is, it was not as good as the series.  While it is a good movie, it could have been done better."
0,"Funny shows! We laughed out loud, alot!"
1,Well made. Great actors! Christopher Walken makes an appearance..always a joy. Tad boring at times..stuffy would be a better word. But NOT a waste of time by any means...
1,This show is awesome..cant wait til next season!!
1,A good perspective.  I appreciate the movie.
1,this saga gets better as the seasons go along still some soap opera moments but is a good watchable show
1,Great show.
0,"Not my kind of movie, one star was too much"
0,I would have given it a 4 but since I can't get seasons 4 & 5 I might have to adjust my thinking.
1,I loved it.
1,I want to like it--but the storylines are a bit thin.
1,If you're a sucker for supernatural series then you'll enjoy this one. Not only does it have demons and creatures but it throws in a CSI like feel in each episode.
1,Well done!!  Great show....
1,:)
1,Great non-stop action thriller. Very Addicting.
1,"At first I thought this was a copy of Atlantis, from the BBC.  It's a little hokey and this is not the best implementation of virtual sets I have ever seen, but I was surprised by the end of the show.  Towards the middle of the season I was resigned to the fact this was just another ho-hum program I could background-watch.  But the end of the season is slightly different from standard formulas and it piqued my interest just enough for 3 stars."
1,Interesting!
1,A great  series.  Wish there were more episodes.
1,Great show
1,Very good movie.
1,My ten year old loved it.
1,Continues to be a good show.
1,Enjoyed season two almost as much as season one. Interesting story lines and characters. Binge-worthy!
1,Enjoying rewatching. Watch as PBS program and again on Prime. Will continue to do so.
1,"I've always wanted to say and do some of the same things as Larry David does in this show. Embarrassing results follow Larry, and It is hilarious!"
1,story line a bit thin
