marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	12190288	R3FU16928EP5TC	B00AYB1482	668895143	Enlightened: Season 1	Digital_Video_Download	5	0	0	N	Y	I loved it and I wish there was a season 3	I loved it and I wish there was a season 3... I watched season 2 and loved that as well!	2015-08-31
US	30549954	R1IZHHS1MH3AQ4	B00KQD28OM	246219280	Vicious	Digital_Video_Download	5	0	0	N	Y	As always it seems that the best shows come from England	As always it seems that the best shows come from England. best of the best without words, i cant wait to watch season two.	2015-08-31
US	52895410	R52R85WC6TIAH	B01489L5LQ	534732318	After Words	Digital_Video_Download	4	17	18	N	Y	Charming movie	This movie isn't perfect, but it gets a lot of things right. Yes, the librarian character played by Marcia Gay Harden is stereotypical and played a bit heavy-handed. But the universal nature of the story, the beautiful setting, and the likability of the characters overcome this flaw. The quote at the end brought tears to my eyes.  If you want to take a break from Hollywood's standard fare of dark, violent, or stupid movies, then give this a try. It is is entertaining and thoughtful.	2015-08-31
US	27072354	R7HOOYTVIB0DS	B008LOVIIK	239012694	Masterpiece: Inspector Lewis Season 5	Digital_Video_Download	5	0	0	N	Y	Five Stars	excellant this is what tv should be	2015-08-31
US	26939022	R1XQ2N5CDOZGNX	B0094LZMT0	535858974	On The Waterfront	Digital_Video_Download	5	0	0	N	Y	Brilliant film from beginning to end	Brilliant film from beginning to end. All of the performances across the board are flawless. Doesn't get much better than this.	2015-08-31
US	4772040	R1HCST57W334KN	B0112OSOQE	38517795	Rick and Morty Season 2	Digital_Video_Download	5	5	6	N	Y	Best show on TV right now	If you don't like this show. Go back to your nickelback cd's you heathen	2015-08-31
US	12910040	R32BUTYQS1ZJBQ	B000NPE5SA	373323715	Africa Screams	Digital_Video_Download	4	1	1	N	Y	Very funny. A typical mid 50's comedy	Very funny.  A typical mid 50's comedy.	2015-08-31
US	38805573	RH4SXPL4L9QU	B00XWV4QXG	633842417	Entourage: Season 7	Digital_Video_Download	3	0	0	N	Y	it was not as good as the series	Strange as it is, it was not as good as the series.  While it is a good movie, it could have been done better.	2015-08-31
US	37100714	R37INWIQA5YW8N	B00X8UKOUK	666093513	Catastrophe - Season 1	Digital_Video_Download	2	0	0	N	Y	Two Stars	Funny shows! We laughed out loud, alot!	2015-08-31
US	41234409	R18GSVAAS3N8GX	B00OOKXTFU	801680808	The Worricker Trilogy Season 1	Digital_Video_Download	3	0	0	N	Y	A tad Stuffy	Well made. Great actors! Christopher Walken makes an appearance..always a joy. Tad boring at times..stuffy would be a better word. But NOT a waste of time by any means...	2015-08-31
US	24698954	R2QCG0ZZOHYUOX	B00URDJ600	174981485	Mr. Selfridge, Season 3	Digital_Video_Download	5	0	0	N	Y	This show is awesome.. cant wait til next season	This show is awesome..cant wait til next season!!	2015-08-31
US	11956809	R2B1OCYMUVMS5C	B009JUZ5I4	654293980	Five Branded Women	Digital_Video_Download	5	0	0	N	Y	A good perspective. I appreciate the movie	A good perspective.  I appreciate the movie.	2015-08-31
US	11763902	R131ZJWHK0XXY0	B00PSLQYWE	156264553	Downton Abbey Season 5	Digital_Video_Download	4	0	0	N	Y	this saga gets better as the seasons go along still some soap opera ...	this saga gets better as the seasons go along still some soap opera moments but is a good watchable show	2015-08-31
US	46765633	RY6RIUNL03N8M	B00LI1COYA	714145608	Extant, Season 1	Digital_Video_Download	5	0	0	N	Y	Five Stars	Great show.	2015-08-31
US	12411752	R2SWNCCEH2HPM5	B01347T9O8	331499516	Casanova	Digital_Video_Download	1	0	0	N	Y	One Star	Not my kind of movie, one star was too much	2015-08-31
US	14717869	R127KV8E8ZC5L4	B00EC7VQX2	627579257	Boardwalk Empire Season 3	Digital_Video_Download	1	0	1	N	Y	I would have given it a 4 but since I ...	I would have given it a 4 but since I can't get seasons 4 & 5 I might have to adjust my thinking.	2015-08-31
US	7438246	R3GH9B8WLQVY5T	B014P64276	120489454	Reunion Part 2	Digital_Video_Download	5	0	0	N	Y	Five Stars	I loved it.	2015-08-31
US	51636125	R3AEFW1YB46FAU	B00X8UKOUK	666093513	Catastrophe - Season 1	Digital_Video_Download	3	0	0	N	Y	I want to like it....	I want to like it--but the storylines are a bit thin.	2015-08-31
US	47856888	R1ZHHD1GTHGMNK	B005U9RM0W	728197314	Grimm Season 1	Digital_Video_Download	4	1	1	N	Y	If you're a sucker for supernatural series then you'll enjoy this one	If you're a sucker for supernatural series then you'll enjoy this one. Not only does it have demons and creatures but it throws in a CSI like feel in each episode.	2015-08-31
US	9210752	R2BCH4XK5CIK50	B00X8UKOUK	666093513	Catastrophe - Season 1	Digital_Video_Download	5	0	0	N	Y	Great show.	Well done!!  Great show....	2015-08-31
US	14759145	R2ZZAEISPIF32T	B004IFD9HE	24531470	Bedtime Stories	Digital_Video_Download	5	0	0	N	Y	Five Stars	:)	2015-08-31
US	34561637	R31P9HCAN427NO	B00KPQ9Q0E	772693518	The Last Ship Season 1	Digital_Video_Download	5	0	1	N	Y	Five Stars	Great non-stop action thriller. Very Addicting.	2015-08-31
US	13942243	R2MI055RX4XLX6	B00V7MGF6S	519183438	Olympus Season 1	Digital_Video_Download	3	0	0	N	Y	Slightly Different	At first I thought this was a copy of Atlantis, from the BBC.  It's a little hokey and this is not the best implementation of virtual sets I have ever seen, but I was surprised by the end of the show.  Towards the middle of the season I was resigned to the fact this was just another ho-hum program I could background-watch.  But the end of the season is slightly different from standard formulas and it piqued my interest just enough for 3 stars.	2015-08-31
